,knockouts,carbon source,yield,slope
580,PGI|PYK,g6p,0.772,0.0
581,PGI|PYK,f6p,0.0,0.0
582,PGI|PYK,6pgc,0.0,0.0
583,PGI|PYK,r5p,0.0,0.0
584,PGI|PYK,succ,0.0,0.0
585,PGI|PYK,xu5p_D,0.0,0.0
586,PGI|PYK,2pg,0.0,0.0
587,PGI|PYK,ac,0.0,0.0
588,PGI|PYK,dhap,0.0,0.0
589,PGI|PYK,electrons,0.0,0.0
590,PGI|PPS,g6p,0.812,0.0
591,PGI|PPS,f6p,0.0,0.0
592,PGI|PPS,6pgc,0.0,0.0
593,PGI|PPS,r5p,0.0,0.0
594,PGI|PPS,succ,0.0,0.0
595,PGI|PPS,xu5p_D,0.0,0.0
596,PGI|PPS,2pg,0.0,0.0
597,PGI|PPS,ac,0.0,0.0
598,PGI|PPS,dhap,0.0,0.0
599,PGI|PPS,electrons,0.0,0.0
600,PGI|PDH,g6p,0.764,0.0
